date,headline,source,sentiment
2020-09-14 07:00:00+00:00,SBI revises fixed deposit (FD) rates. Latest FD rates here,Mint,-0.040942033752799034
2020-11-21 08:00:00+00:00,"Monetary Aggregates: Understand the Monetary Statistics M0, M1, M2, M3 etc",ClearIAS,0.0028541628271341324
2020-11-27 08:00:00+00:00,New Solar Tariff Record of ₹2/kWh: Why Did it Go So Low?,Mercomindia.com,-0.373606875538826
2020-08-21 07:00:00+00:00,Personal loan interest rates 2022: Comparison of top bank personal loan rates,The Economic Times,0.02509380877017975
2020-10-27 07:00:00+00:00,Exploring the depth of Asia’s unconventional central bank easing,ING THINK economic and financial analysis | ING THINK,0.051112422719597816
2020-07-09 07:00:00+00:00,BofA Securities sees RBI cutting interest rate by at least 50bps by Oct; economy to shrink 3%,theweek.in,-0.02633628249168396
2020-08-27 07:00:00+00:00,Indian farmers driven to debt as banks turn risk-averse during pandemic,Reuters,-0.9335255213081837
2020-07-26 07:00:00+00:00,Dosa Economics: How Falling Interest Rates on Deposits is not always bad?,getmoneyrich,-0.6165544129908085
2020-09-01 07:00:00+00:00,Capital Pains — challenges posed by high interest rate regime in Bharat,HinduPost,-0.10907898843288422
2020-08-18 07:00:00+00:00,Negative real interest rates: A key trigger for gold’s continuing rally,Moneycontrol,-0.3762213736772537
2020-08-02 07:00:00+00:00,Senior citizens bank fixed deposit (FD) rates above 9%. Check details,Mint,0.01892734318971634
2020-09-18 07:00:00+00:00,Public sector banks that offer best interest rates on savings accounts,Moneycontrol,0.08068084623664618
2020-10-15 07:00:00+00:00,SC welcomes relief on interest but wants it to be speeded up,The Times of India,0.7356350459158421
2020-12-31 08:00:00+00:00,"No cut in PPF, NSC, other post office schemes' interest rates for Q4 of FY 2020-21",The Economic Times,-0.020091835409402847
2020-07-31 07:00:00+00:00,10 tax-saving fixed deposits that offer the best interest rates,Moneycontrol,0.32858297135680914
2020-11-17 08:00:00+00:00,"IndusInd, RBL and Yes Banks offer the best interest rates on one-year fixed deposits",Moneycontrol,0.15121673978865147
2020-12-05 08:00:00+00:00,How to benefit from low home loan interest rates,Housing,0.14681206922978163
2020-08-09 07:00:00+00:00,Latest bank FD rates: SBI vs ICICI Bank vs HDFC Bank vs Bank of India,Mint,0.2452564239501953
2020-11-19 08:00:00+00:00,UCO Bank announces cuts on home loan rate by 25 basis points,India Today,-0.6916511654853821
2020-10-30 07:00:00+00:00,"DCB, RBL and Punjab National banks offer attractive rates on 3-year fixed deposits for senior citizens",Moneycontrol,0.6312792059034109
2020-10-23 07:00:00+00:00,Here are public sector banks that offer the best interest rates on savings accounts,Moneycontrol,0.054649087600409985
2020-11-19 08:00:00+00:00,"Union Bank, Central Bank and Bank of Baroda offer the lowest rates on educations loans",Moneycontrol,-0.2678256630897522
2020-12-18 08:00:00+00:00,IndusInd Bank and RBL Bank offer the best rates on one-year fixed deposits,Moneycontrol,0.2759393472224474
2020-09-07 07:00:00+00:00,Gold loan gets cheaper as SBI cuts interest rates - here's how to apply,DNA India,0.04375477693974972
2020-12-11 08:00:00+00:00,Bandhan Bank and IDFC First Bank offer up to 7% on savings accounts,Moneycontrol,0.0810552192851901
2020-12-10 08:00:00+00:00,Explained: Here is why petrol and diesel prices are rising,The Indian Express,0.016021285206079483
2020-10-29 07:00:00+00:00,"Bihar's unemployment rate on the rise, much higher than all-India average: CMIE",The Economic Times,0.8243529312312603
2020-08-09 07:00:00+00:00,How the COVID-19 outbreak has affected the joblessness rate in India -- explained in 4 charts,Times Now,-0.6571325082331896
2020-07-03 07:00:00+00:00,Don’t just consider the interest rates when taking a home loan,Mint,-0.02145054005086422
2020-07-25 07:00:00+00:00,Indian Bank trims interest rate on gold loans for farmers,The Times of India,-0.07759349048137665
2020-11-05 08:00:00+00:00,Reduce EMIs by shifting your home loan to a bank that offers lower interest rate,Moneycontrol,0.08031992800533772
2020-08-07 07:00:00+00:00,Gold loan interest rates 2022: Top gold loan rates and comparison,The Economic Times,0.047423429787158966
2020-11-30 08:00:00+00:00,Lakshmi Vilas Bank customers can access all services; no change in interest rates as of now: DBS,The New Indian Express,0.03260686807334423
